positionName,companyShortName,city,companySize,education,financeStage,industryField,salary,平均薪资,workYear
数据分析师,联通大数据,北京,150-500人,不限,不需要融资,数据服务,15k-20k,17.5,3-5年
数据分析师,字节跳动,北京,2000人以上,本科,C轮,文娱丨内容,15k-25k,20.0,1-3年
数据分析师,明日虫洞,北京,50-150人,本科,C轮,"移动互联网,数据服务",20k-40k,30.0,3-5年
高级数据分析师,小米,北京,2000人以上,本科,D轮及以上,硬件,25k-40k,32.5,不限
数据分析师,世纪佳缘,北京,2000人以上,本科,上市公司,移动互联网,15k-20k,17.5,1-3年
数据分析,世纪佳缘,北京,2000人以上,本科,上市公司,移动互联网,10k-18k,14.0,3-5年
数据分析师,百观Lab,北京,15-50人,本科,A轮,"数据服务,金融",15k-25k,20.0,1-3年
数据分析师,安居客,北京,2000人以上,大专,不需要融资,"移动互联网,企业服务",8k-12k,10.0,1-3年
数据分析师,一起考教师,北京,150-500人,本科,B轮,"移动互联网,教育",8k-15k,11.5,1-3年
数据分析师,通铭教育,北京,150-500人,本科,上市公司,"企业服务,教育",13k-20k,16.5,1-3年
高级数据分析师,唯医骨科,北京,150-500人,本科,B轮,医疗健康,20k-40k,30.0,5-10年
数据分析实习生,华壹信融,北京,150-500人,大专,未融资,金融,6k-8k,7.0,应届毕业生
高级数据分析师,字节跳动,北京,2000人以上,本科,C轮,文娱丨内容,9k-15k,12.0,1-3年
数据分析专员,中信出版集团,北京,150-500人,本科,不需要融资,"移动互联网,文娱丨内容",6k-12k,9.0,1-3年
高级数据分析师,Bigo,北京,2000人以上,硕士,上市公司,"移动互联网,社交",25k-50k,37.5,3-5年
数据分析实习生,转转,北京,500-2000人,本科,B轮,"移动互联网,消费生活",2k-3k,2.5,应届毕业生
数据分析师,幸福消费金融,北京,150-500人,本科,不需要融资,"移动互联网,金融",23k-35k,29.0,5-10年
数据分析师,北京瑞天欣实数据科技有限公司,北京,50-150人,本科,A轮,数据服务,8k-14k,11.0,1-3年
数据分析经理,拉勾网,北京,500-2000人,本科,D轮及以上,企业服务,24k-38k,31.0,5-10年
数据分析师,龙盾数据,北京,50-150人,硕士,未融资,"移动互联网,数据服务",15k-25k,20.0,5-10年
数据分析实习生,天天乐学,北京,150-500人,本科,A轮,"移动互联网,教育",5k-8k,6.5,应届毕业生
数据分析实习生,新浪网,北京,2000人以上,本科,上市公司,文娱丨内容,3k-4k,3.5,应届毕业生
（高级）数据分析师,58到家,北京,2000人以上,本科,D轮及以上,消费生活,15k-30k,22.5,5-10年
数据分析岗,北京中关村银行,北京,150-500人,本科,不需要融资,金融,20k-40k,30.0,3-5年
大数据建模经理（Panel）(J10390),TalkingData,北京,500-2000人,本科,C轮,移动互联网,20k-40k,30.0,3-5年
数据分析师(J17096),安居客,北京,500-2000人,本科,上市公司,移动互联网,10k-15k,12.5,3-5年
课程顾问（数据分析业务线）,小象学院,北京,150-500人,本科,A轮,数据服务,15k-25k,20.0,1-3年
数据分析师,北京盛业联众资产管理集团有限公司,北京,50-150人,不限,未融资,金融,8k-11k,9.5,不限
数据分析师（内容生态）,微博,北京,2000人以上,本科,上市公司,文娱丨内容,18k-30k,24.0,3-5年
数据分析（商业化方向）,琥珀创想,北京,50-150人,本科,A轮,移动互联网,17k-22k,19.5,3-5年
商业搜索研发部_PMO&amp;数据分析,百度,北京,2000人以上,本科,不需要融资,工具,15k-30k,22.5,不限
数据分析师(智能出行）,嘀嗒出行,北京,150-500人,不限,D轮及以上,汽车丨出行,15k-30k,22.5,1-3年
数据分析师(J17096),安居客,北京,500-2000人,本科,上市公司,移动互联网,10k-15k,12.5,3-5年
大数据建模经理（Panel）(J10390),TalkingData,北京,500-2000人,本科,C轮,移动互联网,20k-40k,30.0,3-5年
数据分析师（内容生态）,微博,北京,2000人以上,本科,上市公司,文娱丨内容,18k-30k,24.0,3-5年
风控数据分析师,优得网络,北京,50-150人,本科,未融资,"移动互联网,数据服务",15k-30k,22.5,3-5年
课程顾问（数据分析业务线）,小象学院,北京,150-500人,本科,A轮,数据服务,15k-25k,20.0,1-3年
数据分析师（风控/反作弊）(J8KN1),乐我无限,北京,500-2000人,本科,B轮,"移动互联网,社交",20k-40k,30.0,3-5年
智能设备-数据分析专员(J11223),明略科技集团,北京,2000人以上,不限,D轮及以上,"数据服务,广告营销",8k-10k,9.0,不限
游戏数据分析师,奇客创想,北京,150-500人,本科,不需要融资,"移动互联网,游戏",12k-16k,14.0,1-3年
商业数据分析师,滴滴,北京,2000人以上,本科,不需要融资,汽车丨出行,20k-40k,30.0,3-5年
行业数据分析（报告方向）,ZingFront智线,北京,50-150人,本科,A轮,"移动互联网,数据服务",10k-20k,15.0,1-3年
高级数据分析专家,视野金融,北京,50-150人,本科,A轮,"移动互联网,金融",35k-45k,40.0,5-10年
商业化数据分析专家,360,北京,2000人以上,本科,上市公司,信息安全,30k-40k,35.0,5-10年
校招-数据分析师,时趣social-touch,北京,500-2000人,本科,D轮及以上,移动互联网,7k-12k,9.5,应届毕业生
数据分析产品经理,知网,北京,2000人以上,硕士,上市公司,"移动互联网,电商",8k-14k,11.0,1-3年
大数据分析师,马上金融,北京,2000人以上,本科,不需要融资,"金融,移动互联网",20k-35k,27.5,5-10年
游戏数据分析师,奇客创想,北京,150-500人,本科,不需要融资,"移动互联网,游戏",12k-16k,14.0,1-3年
高级数据分析工程师(J12771),新东方,北京,2000人以上,本科,上市公司,教育,25k-30k,27.5,5-10年
高级数据分析师(J12284),安居客,北京,500-2000人,本科,上市公司,移动互联网,20k-30k,25.0,3-5年
行业数据分析（报告方向）,ZingFront智线,北京,50-150人,本科,A轮,"移动互联网,数据服务",10k-20k,15.0,1-3年
数据分析工程师,宏图世展,北京,50-150人,本科,不需要融资,移动互联网,10k-15k,12.5,不限
数据分析师,达达集团,北京,2000人以上,本科,上市公司,消费生活,20k-40k,30.0,不限
数据分析,达达集团,北京,2000人以上,本科,上市公司,消费生活,20k-40k,30.0,3-5年
高级数据分析工程师,中邮信息科技（北京）有限公司,北京,500-2000人,本科,不需要融资,"移动互联网,其他",25k-45k,35.0,5-10年
大数据工程师（数据分析平台）,明略科技集团,北京,2000人以上,本科,D轮及以上,"数据服务,广告营销",20k-25k,22.5,1-3年
数据分析,贝壳,北京,2000人以上,本科,上市公司,房产家居,20k-40k,30.0,3-5年
数据分析师,数美,北京,150-500人,本科,C轮,"企业服务,数据服务",10k-20k,15.0,1-3年
HR数据分析师,作业帮,北京,2000人以上,本科,D轮及以上,工具,15k-25k,20.0,3-5年
数据分析经理,作业帮,北京,2000人以上,本科,D轮及以上,工具,20k-30k,25.0,5-10年
数据分析师,映客,北京,500-2000人,本科,上市公司,文娱丨内容,15k-30k,22.5,1-3年
数据分析师,nice,北京,150-500人,本科,C轮,"移动互联网,社交",10k-20k,15.0,1-3年
商业运营平台部_CRM产品经理(数据分析方向),百度,北京,2000人以上,本科,不需要融资,工具,18k-36k,27.0,3-5年
商业广告数据分析,网易,北京,2000人以上,本科,上市公司,电商,15k-30k,22.5,3-5年
数据挖掘/数据分析专家,360,北京,2000人以上,本科,上市公司,信息安全,25k-40k,32.5,3-5年
数据分析工程师,什么值得买,北京,500-2000人,本科,上市公司,电子商务,15k-20k,17.5,3-5年
商业化产品数据分析,美图公司,北京,2000人以上,本科,上市公司,硬件,15k-30k,22.5,3-5年
数据分析经理,果壳,北京,150-500人,本科,C轮,"移动互联网,社交",20k-30k,25.0,3-5年
数据分析工程师,什么值得买,北京,500-2000人,本科,上市公司,电子商务,20k-25k,22.5,1-3年
数据分析师,京东集团,北京,2000人以上,本科,上市公司,电商,17k-23k,20.0,3-5年
数据分析-带团队,核桃编程,北京,500-2000人,本科,B轮,教育,30k-45k,37.5,5-10年
资深数据分析工程师,诺悦智能,北京,50-150人,本科,未融资,数据服务,15k-30k,22.5,3-5年
数据分析工程师,诺悦智能,北京,50-150人,大专,未融资,数据服务,9k-15k,12.0,1-3年
遥感算法数据分析师,泽泰征信,北京,15-50人,硕士,A轮,"企业服务,数据服务",15k-30k,22.5,3-5年
数据分析师（市场投放侧）,点众科技,北京,150-500人,本科,不需要融资,"移动互联网,文娱丨内容",14k-28k,21.0,3-5年
数据分析师（产品运营）,点众科技,北京,150-500人,本科,不需要融资,"移动互联网,文娱丨内容",14k-28k,21.0,3-5年
行业大数据分析科学家,K2DATA,北京,150-500人,本科,B轮,数据服务,15k-30k,22.5,5-10年
数据分析师-用户运营方向,悟空租车,北京,150-500人,本科,B轮,"消费生活,电商",15k-20k,17.5,3-5年
数据建模工程师,联通支付有限公司,北京,150-500人,本科,不需要融资,金融,20k-40k,30.0,5-10年
数据分析工程师（高级）,联通支付有限公司,北京,150-500人,本科,不需要融资,金融,20k-40k,30.0,5-10年
校招-数据分析挖掘工程师(J12225),东方国信,北京,2000人以上,本科,上市公司,数据服务,3k-5k,4.0,应届毕业生
高级数据分析师,北京中经惠众科技有限公司,北京,50-150人,本科,不需要融资,"金融,企业服务",15k-25k,20.0,5-10年
数据分析师（BLI）,极光,北京,500-2000人,本科,上市公司,企业服务,18k-25k,21.5,3-5年
高级数据分析师,好未来,北京,2000人以上,本科,上市公司,教育,20k-35k,27.5,5-10年
销售数据分析师,土豆雅思,北京,150-500人,本科,A轮,教育,15k-25k,20.0,1-3年
业务数据分析师,车好多集团,北京,2000人以上,本科,D轮及以上,消费生活,20k-30k,25.0,3-5年
商业数据分析师,DataStory,北京,150-500人,本科,B轮,数据服务,14k-25k,19.5,3-5年
大数据分析师,马上金融,北京,2000人以上,本科,不需要融资,"金融,移动互联网",20k-35k,27.5,5-10年
商业数据分析师-BJ,深演智能,北京,150-500人,本科,D轮及以上,"移动互联网,广告营销",15k-25k,20.0,3-5年
业务数据分析师,车好多集团,北京,2000人以上,本科,D轮及以上,消费生活,20k-30k,25.0,3-5年
商业数据分析师,DataStory,北京,150-500人,本科,B轮,数据服务,14k-25k,19.5,3-5年
大数据分析师,马上金融,北京,2000人以上,本科,不需要融资,"金融,移动互联网",20k-35k,27.5,5-10年
商业数据分析师-BJ,深演智能,北京,150-500人,本科,D轮及以上,"移动互联网,广告营销",15k-25k,20.0,3-5年
资深数据分析-BJ,深演智能,北京,150-500人,本科,D轮及以上,"移动互联网,广告营销",15k-30k,22.5,3-5年
高级数据分析师,好未来,北京,2000人以上,硕士,上市公司,教育,15k-30k,22.5,3-5年
数据分析师（输出行业报告）,热云数据,北京,150-500人,本科,B轮,"数据服务,移动互联网",15k-25k,20.0,3-5年
数据分析师 (MJ001000),Keep,北京,500-2000人,本科,D轮及以上,"社交,文娱丨内容",15k-30k,22.5,3-5年
校招-数据分析师,时趣social-touch,北京,500-2000人,本科,D轮及以上,移动互联网,7k-12k,9.5,应届毕业生
数据分析产品经理,知网,北京,2000人以上,硕士,上市公司,"移动互联网,电商",8k-14k,11.0,1-3年
营销数据分析师,安居客,北京,2000人以上,本科,不需要融资,"移动互联网,企业服务",12k-20k,16.0,3-5年
资深数据分析负责人,唯医骨科,北京,150-500人,硕士,B轮,医疗健康,30k-60k,45.0,10年以上
数据分析,易点租,北京,500-2000人,本科,D轮及以上,电商,15k-25k,20.0,5-10年
高级数据分析师,天弘基金,北京,500-2000人,本科,不需要融资,金融,20k-30k,25.0,3-5年
数据分析实习生,数美,北京,150-500人,本科,C轮,"企业服务,数据服务",3k-5k,4.0,应届毕业生
数据分析专家,掌阅,北京,500-2000人,不限,上市公司,文娱丨内容,20k-40k,30.0,3-5年
数据分析专家,掌阅,北京,500-2000人,本科,上市公司,文娱丨内容,30k-60k,45.0,5-10年
财务数据分析,网易,北京,2000人以上,本科,上市公司,电商,19k-23k,21.0,5-10年
数据分析师 (MJ000624),OK Group,北京,500-2000人,本科,B轮,金融,12k-20k,16.0,应届毕业生
数据分析师 (MJ000622),OK Group,北京,500-2000人,本科,B轮,金融,12k-20k,16.0,应届毕业生
数据分析师,掌众科技,北京,500-2000人,本科,C轮,"移动互联网,金融",11k-20k,15.5,1-3年
数据分析师,火花思维,北京,2000人以上,本科,D轮及以上,"移动互联网,教育",15k-25k,20.0,3-5年
高级数据分析师,汽车之家,北京,2000人以上,本科,上市公司,汽车丨出行,20k-40k,30.0,5-10年
数据分析师（2021届）,云畅游戏,北京,150-500人,本科,上市公司,"游戏,移动互联网",11k-22k,16.5,应届毕业生
助理数据分析师,龙盾数据,北京,50-150人,本科,未融资,"移动互联网,数据服务",4k-7k,5.5,应届毕业生
商业数据分析师/用户增长数据分析师,联通大数据,北京,150-500人,本科,不需要融资,数据服务,20k-30k,25.0,5-10年
高级数据分析师,居理新房,北京,2000人以上,本科,C轮,移动互联网,25k-45k,35.0,5-10年
金融数据分析师,云玺明铖,北京,50-150人,本科,未融资,"金融,物联网",8k-15k,11.5,应届毕业生
销售数据分析专员,西藏阳光壹佰营销管理有限公司,北京,2000人以上,本科,上市公司,房产家居,7k-9k,8.0,应届毕业生
数据分析师,LEOS',北京,15-50人,本科,不需要融资,广告营销,12k-24k,18.0,1-3年
销售数据分析专员,西藏阳光壹佰营销管理有限公司,北京,2000人以上,本科,上市公司,房产家居,7k-9k,8.0,应届毕业生
数据分析师,LEOS',北京,15-50人,本科,不需要融资,广告营销,12k-24k,18.0,1-3年
（用户增长）数据分析师,Bigo,北京,2000人以上,本科,上市公司,"移动互联网,社交",25k-50k,37.5,3-5年
数据分析师,中企动力,北京,2000人以上,本科,上市公司,"电商,移动互联网",20k-30k,25.0,3-5年
数据分析师,一人一亩田,北京,500-2000人,本科,C轮,电商,20k-35k,27.5,3-5年
高级数据分析师,微聚未来,北京,500-2000人,本科,不需要融资,"移动互联网,金融",20k-40k,30.0,3-5年
数据分析师,36氪,北京,500-2000人,本科,上市公司,"移动互联网,电商",15k-25k,20.0,3-5年
高级数据分析师,微博,北京,2000人以上,本科,上市公司,文娱丨内容,25k-45k,35.0,3-5年
数据分析师,G7,北京,500-2000人,本科,D轮及以上,"物联网,数据服务",15k-25k,20.0,3-5年
数据分析师,无极慧通,北京,50-150人,本科,A轮,"医疗丨健康,数据服务",10k-15k,12.5,3-5年
高级数据分析师,无极慧通,北京,50-150人,本科,A轮,"医疗丨健康,数据服务",15k-30k,22.5,1-3年
高级数据分析师,萌宝教育,北京,150-500人,硕士,不需要融资,"教育,文娱丨内容",15k-25k,20.0,3-5年
数据分析专员,北京搜房科技发展有限公司,北京,2000人以上,本科,未融资,"移动互联网,金融",6k-10k,8.0,1年以下
数据分析师,DataHunter,北京,50-150人,本科,A轮,"数据服务,企业服务",15k-25k,20.0,1-3年
093131-数据分析师,平安健康保险,北京,500-2000人,本科,未融资,金融,15k-25k,20.0,3-5年
数据分析师,北京望石智慧科技有限公司,北京,15-50人,硕士,A轮,"医疗丨健康,人工智能",9k-11k,10.0,应届毕业生
高级数据分析师,铁甲网,北京,500-2000人,本科,C轮,"电商,文娱丨内容",18k-30k,24.0,5-10年
