日期,最大时刻,最大值
2021-07-20,11:00:00,10345
2021-07-21,11:00:00,10315
2021-07-22,10:00:00,320
2021-07-23,10:00:00,10013
2021-07-24,11:00:00,9829
2021-07-25,10:00:00,9400
2021-07-26,10:00:00,9537
2021-07-27,11:00:00,10525
2021-07-28,10:00:00,10467
2021-07-29,10:00:00,10689
2021-07-30,11:00:00,9886
2021-07-31,11:00:00,9386
2021-08-01,10:00:00,8575
2021-08-02,11:00:00,9398
2021-08-03,10:00:00,9797
2021-08-04,10:00:00,9675
2021-08-05,11:00:00,10610
2021-08-06,11:00:00,10575
2021-08-07,10:00:00,10229
2021-08-08,11:00:00,9462
2021-08-09,10:00:00,9660
2021-08-10,10:00:00,7709
2021-08-11,11:00:00,9167
2021-08-12,10:00:00,9519
2021-08-13,11:00:00,10483
2021-08-14,10:00:00,9112
2021-08-15,10:00:00,7586
2021-08-16,13:00:00,6587
2021-08-17,11:00:00,10442
2021-08-18,14:00:00,90
2021-08-19,11:00:00,8380
2021-08-20,10:00:00,10405
2021-08-21,11:00:00,9714
2021-08-22,11:00:00,10581
2021-08-23,10:00:00,9258
2021-08-24,11:00:00,8294
2021-08-25,11:00:00,9064
2021-08-26,10:00:00,10011
2021-08-27,10:00:00,10462
2021-08-28,12:00:00,90
2021-08-29,11:00:00,10713
2021-08-30,10:00:00,10752
2021-08-31,10:00:00,10491
2021-09-01,10:00:00,9704
2021-09-02,10:00:00,10146
2021-09-03,10:00:00,8908
2021-09-04,10:00:00,8563
2021-09-05,10:00:00,8784
2021-09-06,10:00:00,10086
2021-09-07,12:00:00,8795
2021-09-08,11:00:00,9888
2021-09-09,11:00:00,6988
2021-09-10,11:00:00,9042
2021-09-11,10:00:00,8876
2021-09-12,10:00:00,10241
2021-09-13,08:00:00,6688
2021-09-14,12:00:00,7574
2021-09-15,10:00:00,9328
2021-09-16,10:00:00,7828
2021-09-17,11:00:00,8786
2021-09-18,10:00:00,9561
2021-09-19,10:00:00,8689
2021-09-20,10:00:00,8597
2021-09-21,11:00:00,9967
2021-09-22,10:00:00,9194
2021-09-23,11:00:00,6412
2021-09-24,12:00:00,6855
2021-09-25,10:00:00,7133
2021-09-26,09:00:00,7513
2021-09-27,11:00:00,7535
2021-09-28,10:00:00,8312
2021-09-29,11:00:00,8390
2021-09-30,10:00:00,8363
2021-10-01,10:00:00,3482
2021-10-02,10:00:00,3382
2021-10-03,10:00:00,7807
2021-10-04,11:00:00,7458
2021-10-05,10:00:00,6867
2021-10-06,11:00:00,4709
2021-10-07,11:00:00,6789
2021-10-08,10:00:00,7855
2021-10-09,11:00:00,5398
2021-10-10,11:00:00,2615
2021-10-11,10:00:00,6033
2021-10-12,10:00:00,8028
2021-10-13,11:00:00,3875
2021-10-14,11:00:00,4107
2021-10-15,10:00:00,5736
2021-10-16,10:00:00,6275
2021-10-17,10:00:00,6961
2021-10-18,10:00:00,4962
2021-10-19,11:00:00,6164
2021-10-20,10:00:00,6051
2021-10-21,10:00:00,5084
2021-10-22,11:00:00,5905
2021-10-23,11:00:00,8112
2021-10-24,10:00:00,8568
2021-10-25,10:00:00,7457
2021-10-26,10:00:00,5790
2021-10-27,11:00:00,5684
2021-10-28,10:00:00,3045
2021-10-29,11:00:00,3310
2021-10-30,10:00:00,5838
2021-10-31,10:00:00,6395
2021-11-01,10:00:00,7629
2021-11-02,10:00:00,8016
2021-11-03,10:00:00,6979
2021-11-04,11:00:00,6156
2021-11-05,11:00:00,6789
2021-11-06,10:00:00,7264
2021-11-07,11:00:00,7659
2021-11-08,10:00:00,7833
2021-11-09,11:00:00,7594
2021-11-10,11:00:00,7210
2021-11-11,11:00:00,6322
2021-11-12,11:00:00,6139
2021-11-13,11:00:00,3295
2021-11-14,11:00:00,3300
2021-11-15,10:00:00,4409
2021-11-16,11:00:00,5003
2021-11-17,11:00:00,4431
2021-11-18,10:00:00,3808
2021-11-19,10:00:00,3992
2021-11-20,11:00:00,4025
2021-11-21,12:00:00,1653
2021-11-22,11:00:00,5743
2021-11-23,10:00:00,2279
2021-11-24,10:00:00,5100
2021-11-25,10:00:00,4356
2021-11-26,11:00:00,3142
2021-11-27,10:00:00,4887
2021-11-28,10:00:00,5304
2021-11-29,10:00:00,6369
2021-11-30,10:00:00,6370
2021-12-01,10:00:00,6251
2021-12-02,11:00:00,5905
2021-12-03,11:00:00,4008
2021-12-04,10:00:00,3340
2021-12-05,11:00:00,3775
2021-12-06,11:00:00,3625
2021-12-07,10:00:00,4128
2021-12-08,11:00:00,4142
2021-12-09,10:00:00,3891
2021-12-10,11:00:00,4633
2021-12-11,10:00:00,4609
2021-12-12,11:00:00,5383
2021-12-13,10:00:00,4148
2021-12-14,10:00:00,4858
2021-12-15,11:00:00,4964
2021-12-16,11:00:00,3933
2021-12-17,11:00:00,5679
2021-12-18,11:00:00,5571
2021-12-19,11:00:00,4969
2021-12-20,11:00:00,5286
2021-12-21,11:00:00,4623
2021-12-22,11:00:00,4594
2021-12-23,11:00:00,4361
2021-12-24,10:00:00,4072
2021-12-25,11:00:00,3773
2021-12-26,11:00:00,4330
2021-12-27,11:00:00,4260
2021-12-28,11:00:00,4598
2021-12-29,11:00:00,5283
2021-12-30,11:00:00,4198
2021-12-31,10:00:00,5445
