时间,连续3小时累计发电量,开始时间,结束时间
2021-05-14,31627.0,09:00:00,11:00:00
2021-05-15,15755.0,09:00:00,11:00:00
2021-05-16,20794.0,10:00:00,12:00:00
2021-05-17,30178.0,10:00:00,12:00:00
2021-05-18,29336.0,09:00:00,11:00:00
2021-05-19,30924.0,09:00:00,11:00:00
2021-05-20,22789.0,10:00:00,12:00:00
2021-05-21,21946.0,09:00:00,11:00:00
2021-05-22,17408.0,10:00:00,12:00:00
2021-05-23,18866.0,09:00:00,11:00:00
2021-05-24,23220.0,11:00:00,13:00:00
2021-05-25,29463.0,09:00:00,11:00:00
2021-05-26,20608.0,10:00:00,12:00:00
2021-05-27,24673.0,09:00:00,11:00:00
2021-05-28,31768.0,09:00:00,11:00:00
2021-05-29,32961.0,10:00:00,12:00:00
2021-05-30,31517.0,10:00:00,12:00:00
2021-05-31,350.0,10:00:00,12:00:00
2021-06-01,31402.0,09:00:00,11:00:00
2021-06-02,32688.0,10:00:00,12:00:00
2021-06-03,32423.0,10:00:00,12:00:00
2021-06-04,32081.0,10:00:00,12:00:00
2021-06-05,30956.0,09:00:00,11:00:00
2021-06-06,30891.0,10:00:00,12:00:00
2021-06-07,30191.0,09:00:00,11:00:00
2021-06-08,142.0,11:00:00,13:00:00
2021-06-09,26999.0,09:00:00,11:00:00
2021-06-10,31143.0,09:00:00,11:00:00
2021-06-11,31857.0,10:00:00,12:00:00
2021-06-12,25210.0,09:00:00,11:00:00
2021-06-13,27055.0,10:00:00,12:00:00
2021-06-14,20553.0,09:00:00,11:00:00
2021-06-15,265.0,09:00:00,11:00:00
2021-06-16,27817.0,09:00:00,11:00:00
2021-06-17,20551.0,08:00:00,10:00:00
2021-06-18,28096.0,09:00:00,11:00:00
2021-06-19,29607.0,10:00:00,12:00:00
2021-06-20,25741.0,10:00:00,12:00:00
2021-06-21,30405.0,09:00:00,11:00:00
2021-06-22,31014.0,09:00:00,11:00:00
2021-06-23,28784.0,09:00:00,11:00:00
2021-06-24,29612.0,10:00:00,12:00:00
2021-06-25,32589.0,10:00:00,12:00:00
2021-06-26,33376.0,10:00:00,12:00:00
2021-06-27,32411.0,09:00:00,11:00:00
2021-06-28,30637.0,10:00:00,12:00:00
2021-06-29,28776.0,09:00:00,11:00:00
2021-06-30,30433.0,09:00:00,11:00:00
2021-07-01,32408.0,10:00:00,12:00:00
2021-07-02,32226.0,10:00:00,12:00:00
2021-07-03,31673.0,10:00:00,12:00:00
2021-07-04,31352.0,10:00:00,12:00:00
2021-07-05,31262.0,10:00:00,12:00:00
2021-07-06,30484.0,10:00:00,12:00:00
2021-07-07,30719.0,10:00:00,12:00:00
2021-07-08,29729.0,10:00:00,12:00:00
2021-07-09,29578.0,10:00:00,12:00:00
2021-07-10,30354.0,10:00:00,12:00:00
2021-07-11,31743.0,10:00:00,12:00:00
2021-07-12,31475.0,10:00:00,12:00:00
2021-07-13,27756.0,10:00:00,12:00:00
2021-07-14,30748.0,10:00:00,12:00:00
2021-07-15,30838.0,10:00:00,12:00:00
2021-07-16,30373.0,10:00:00,12:00:00
2021-07-17,30611.0,10:00:00,12:00:00
2021-07-18,30595.0,10:00:00,12:00:00
2021-07-19,32048.0,10:00:00,12:00:00
2021-07-20,30373.0,10:00:00,12:00:00
2021-07-21,30383.0,10:00:00,12:00:00
2021-07-22,490.0,10:00:00,12:00:00
2021-07-23,29302.0,09:00:00,11:00:00
2021-07-24,28694.0,09:00:00,11:00:00
2021-07-25,27534.0,10:00:00,12:00:00
2021-07-26,28241.0,09:00:00,11:00:00
2021-07-27,30908.0,10:00:00,12:00:00
2021-07-28,30918.0,10:00:00,12:00:00
2021-07-29,31500.0,10:00:00,12:00:00
2021-07-30,28950.0,10:00:00,12:00:00
2021-07-31,27429.0,10:00:00,12:00:00
2021-08-01,25340.0,09:00:00,11:00:00
2021-08-02,27299.0,10:00:00,12:00:00
2021-08-03,29150.0,10:00:00,12:00:00
2021-08-04,28572.0,10:00:00,12:00:00
2021-08-05,31526.0,10:00:00,12:00:00
2021-08-06,31185.0,10:00:00,12:00:00
2021-08-07,30182.0,09:00:00,11:00:00
2021-08-08,27328.0,10:00:00,12:00:00
