企业,日期,2021月用电量
3a880b114bf4bd675b04,202103,3665.962097
e8260c1bd2fc43d8b23b,202105,3120.16571
f62826b32a2dd0d053a4,202104,2441.608
3a880b114bf4bd675b04,202104,152.502
f62826b32a2dd0d053a4,202105,2156.77
52f8b42e19f452036766,202107,11501.71226
269b0c45f11bb3641ec8,202105,173.4928387
52f8b42e19f452036766,202108,10954.67613
269b0c45f11bb3641ec8,202106,149.9398667
d0e54cf35293ca643e46,202103,470.8371935
269b0c45f11bb3641ec8,202107,198.9075484
d0e54cf35293ca643e46,202104,511.1206
269b0c45f11bb3641ec8,202108,215.2566452
d0e54cf35293ca643e46,202105,493.6561935
c0fefcf8b26babd70107,202104,7119.102667
859371fd7fb56f9d7123,202103,47730.07097
c0fefcf8b26babd70107,202105,7903.36129
b466f307fb7f1bc5f017,202108,4811.948548
3c44f290b9f1cc8aaae6,202103,24007.80274
3c44f290b9f1cc8aaae6,202104,5027.040733
3c44f290b9f1cc8aaae6,202105,4092.084645
58bfe4d74b4792ba9f41,202103,221105.2687
58bfe4d74b4792ba9f41,202104,241739.657
58bfe4d74b4792ba9f41,202105,222724.2942
d03ad41eec46f3f39515,202108,600.9713548
3c96fb1ab02704f8b538,202107,4287.963871
16a1ee0a1955cd25f2b2,202103,7599.624516
d0e54cf35293ca643e46,202106,739.1104333
c0fefcf8b26babd70107,202106,13618.91467
d0e54cf35293ca643e46,202107,768.2590323
c0fefcf8b26babd70107,202107,15258.13032
d0e54cf35293ca643e46,202108,973.2813548
c0fefcf8b26babd70107,202108,14836.61806
5024d634246157b7fc83,202103,4212.959484
5024d634246157b7fc83,202104,2852.8304
5024d634246157b7fc83,202105,2499.713613
5024d634246157b7fc83,202106,4806.817367
dcc9c3e1a1a0e606cb04,202105,2006.83871
dcc9c3e1a1a0e606cb04,202106,2249.448
3c96fb1ab02704f8b538,202108,5941.082258
456ec74996992bd3c2d3,202103,1860.239226
dcc9c3e1a1a0e606cb04,202107,2360.165161
f2b1b873873e62497b85,202103,46228.43355
456ec74996992bd3c2d3,202104,1089.842467
dcc9c3e1a1a0e606cb04,202108,3094.712258
f2b1b873873e62497b85,202104,46403.012
456ec74996992bd3c2d3,202105,376.1519032
f2b1b873873e62497b85,202105,39882.50452
456ec74996992bd3c2d3,202106,1216.267733
456ec74996992bd3c2d3,202107,1414.280806
456ec74996992bd3c2d3,202108,1432.993161
5273ca595a5c546ae2bc,202103,6796.000548
224ec148fd3ed8ae26f4,202104,11730.94267
5273ca595a5c546ae2bc,202104,5566.4899
224ec148fd3ed8ae26f4,202105,11161.55806
436ada3845c7a4d3221c,202105,203.5565806
224ec148fd3ed8ae26f4,202106,10848.608
224ec148fd3ed8ae26f4,202107,11583.07032
224ec148fd3ed8ae26f4,202108,14332.9729
199e6a3dfedb2aa0b480,202103,32.201
0bc19ad9f9cdda34c045,202107,1429.15771
16a1ee0a1955cd25f2b2,202104,4497.72
0bc19ad9f9cdda34c045,202108,1250.402419
16a1ee0a1955cd25f2b2,202105,3573.562581
16a1ee0a1955cd25f2b2,202106,5953.332
16a1ee0a1955cd25f2b2,202107,5986.410323
199e6a3dfedb2aa0b480,202104,830.5465667
199e6a3dfedb2aa0b480,202105,1432.567
e727d86bf45fa48ecf3f,202103,38543.58323
a5258d4c25acbd20a8d2,202103,102582.4529
b46737f25bc43f8aa5d5,202103,166.713
16a1ee0a1955cd25f2b2,202108,6528.022581
4be6ed852680a0dc1e59,202103,1544.26
fbd3ad7aac78d5dcb089,202104,3283.549033
4be6ed852680a0dc1e59,202104,1520.040667
436ada3845c7a4d3221c,202106,157.6262667
5b8593c6063246551559,202103,1398204.671
4be6ed852680a0dc1e59,202105,1236.649032
12f6b397ee65ec86f5fd,202104,9144.789333
e8260c1bd2fc43d8b23b,202106,2812.797067
b46737f25bc43f8aa5d5,202104,94.57376667
12f6b397ee65ec86f5fd,202105,5617.587097
b46737f25bc43f8aa5d5,202105,70.74922581
e8260c1bd2fc43d8b23b,202107,2115.897258
4be6ed852680a0dc1e59,202106,959.1736667
12f6b397ee65ec86f5fd,202106,8446.608
b46737f25bc43f8aa5d5,202106,89.2093
e8260c1bd2fc43d8b23b,202108,1458.872774
3a880b114bf4bd675b04,202105,31.0
4f709435552829d44dfe,202103,9712.609677
12f6b397ee65ec86f5fd,202107,5921.323871
b46737f25bc43f8aa5d5,202107,79.27245161
4f709435552829d44dfe,202104,8669.994
12f6b397ee65ec86f5fd,202108,2232.316774
b46737f25bc43f8aa5d5,202108,96.5126129
5b8593c6063246551559,202104,1614935.074
bd881f0cf04e54595eca,202103,2072.50629
4f709435552829d44dfe,202105,9254.68
3a880b114bf4bd675b04,202106,30.0
4f709435552829d44dfe,202106,7742.822
8dc1ef3f1249716dcf6d,202108,1677.919677
3a880b114bf4bd675b04,202107,31.0
749f8381fde151b2df2f,202103,3121.056774
4f709435552829d44dfe,202107,6244.431613
749f8381fde151b2df2f,202104,2532.203433
4f709435552829d44dfe,202108,6244.431613
fbd3ad7aac78d5dcb089,202105,2487.432419
10ad83a4e1b415dfa479,202103,41.73151613
bd881f0cf04e54595eca,202104,3813.350167
5b8593c6063246551559,202105,3788590.072
10ad83a4e1b415dfa479,202104,159.1475333
f62826b32a2dd0d053a4,202106,2566.512
10ad83a4e1b415dfa479,202105,248.8459032
f62826b32a2dd0d053a4,202107,3866.451613
bd881f0cf04e54595eca,202105,5177.323742
436ada3845c7a4d3221c,202107,171.7881935
3facdd028dc5672c166b,202103,9511.88771
436ada3845c7a4d3221c,202108,307.0750323
a51a385d12ef6a8eb686,202103,286.4643226
3facdd028dc5672c166b,202104,9270.894333
bdc7a97487460d5f7f75,202103,2546.126452
0f5f317bd764e824e0d1,202108,54564.14839
a51a385d12ef6a8eb686,202104,333.6128
3facdd028dc5672c166b,202105,7279.422419
bdc7a97487460d5f7f75,202104,2696.8205
3a880b114bf4bd675b04,202108,31.0
3facdd028dc5672c166b,202106,8051.5991
bdc7a97487460d5f7f75,202105,2285.199516
3facdd028dc5672c166b,202107,8304.107871
bdc7a97487460d5f7f75,202106,2316.1035
3facdd028dc5672c166b,202108,8520.016677
749f8381fde151b2df2f,202105,2036.166355
ae47df4439714400f3f0,202103,1460.151258
5024d634246157b7fc83,202107,6454.025484
5024d634246157b7fc83,202108,5207.50371
fbd3ad7aac78d5dcb089,202106,3087.786033
f62826b32a2dd0d053a4,202108,4031.492258
285f59a9d4d86df49887,202103,4065.701387
530c141ee115463df927,202103,3592.15871
fbd3ad7aac78d5dcb089,202107,3099.206323
285f59a9d4d86df49887,202104,4754.4938
530c141ee115463df927,202104,4706.694
fbd3ad7aac78d5dcb089,202108,3109.008032
285f59a9d4d86df49887,202105,5187.551613
f2b1b873873e62497b85,202106,58413.012
749f8381fde151b2df2f,202106,2569.834767
10ad83a4e1b415dfa479,202106,259.391
f2b1b873873e62497b85,202107,76823.71484
749f8381fde151b2df2f,202107,2689.084194
10ad83a4e1b415dfa479,202107,173.6478065
f2b1b873873e62497b85,202108,61123.9329
749f8381fde151b2df2f,202108,2511.607387
10ad83a4e1b415dfa479,202108,234.1627097
db1c7927790610cbb81d,202103,2468.991258
db1c7927790610cbb81d,202104,2866.922133
bdc7a97487460d5f7f75,202107,2611.212903
bdc7a97487460d5f7f75,202108,2088.196774
3c44f290b9f1cc8aaae6,202106,3681.360267
06e46fcd2292da2404cd,202103,7748.858452
150b58dc0efe9d5179a3,202104,23790.584
06e46fcd2292da2404cd,202104,7453.1408
3c44f290b9f1cc8aaae6,202107,3344.791452
150b58dc0efe9d5179a3,202105,25711.09194
06e46fcd2292da2404cd,202105,6868.331742
3c44f290b9f1cc8aaae6,202108,3944.555355
285f59a9d4d86df49887,202106,4700.969233
150b58dc0efe9d5179a3,202106,28700.272
285f59a9d4d86df49887,202107,4925.966065
150b58dc0efe9d5179a3,202107,28901.49032
94ac043cfede94a02eb8,202105,11035.25935
5b8593c6063246551559,202106,4187664.069
285f59a9d4d86df49887,202108,4317.252774
3d48f2771d28bb194a9c,202106,30.0
94ac043cfede94a02eb8,202106,13398.331
5b8593c6063246551559,202107,4548568.033
94ac043cfede94a02eb8,202107,18775.89806
ae47df4439714400f3f0,202104,1419.957333
94ac043cfede94a02eb8,202108,22054.62806
ae47df4439714400f3f0,202105,1272.562806
5273ca595a5c546ae2bc,202105,3368.424032
5273ca595a5c546ae2bc,202106,1807.159733
5273ca595a5c546ae2bc,202107,2608.268516
5b8593c6063246551559,202108,7129511.61
530c141ee115463df927,202105,4778.436774
6c75ba45fabb0fb02f8e,202105,26818.72387
859371fd7fb56f9d7123,202104,47195.672
859371fd7fb56f9d7123,202105,48724.96387
530c141ee115463df927,202106,3963.675333
5273ca595a5c546ae2bc,202108,5374.597677
530c141ee115463df927,202107,3659.957097
530c141ee115463df927,202108,3664.21871
859371fd7fb56f9d7123,202106,62794.26
859371fd7fb56f9d7123,202107,66800.40129
859371fd7fb56f9d7123,202108,75996.1871
4be6ed852680a0dc1e59,202107,1428.034194
4be6ed852680a0dc1e59,202108,1162.264516
265d2f42ae52aae95c59,202103,125117.8619
265d2f42ae52aae95c59,202104,118858.5413
71ce10960250ae0122a1,202106,1340.491167
71ce10960250ae0122a1,202107,1458.097935
8b04b1c6c2cbae0b3b34,202103,56862.32
71ce10960250ae0122a1,202108,1378.134581
8b04b1c6c2cbae0b3b34,202104,56087.876
079a586417b8261a5d62,202103,696744.2723
150b58dc0efe9d5179a3,202108,32562.60323
a51a385d12ef6a8eb686,202105,335.7440645
2d393b5b17047b79a0c9,202103,562.461871
2d393b5b17047b79a0c9,202104,417.3625333
2d393b5b17047b79a0c9,202105,484.4743548
58bfe4d74b4792ba9f41,202106,98181.725
a51a385d12ef6a8eb686,202106,348.9856
58bfe4d74b4792ba9f41,202107,118390.7123
a51a385d12ef6a8eb686,202107,389.6728387
58bfe4d74b4792ba9f41,202108,102843.1861
a51a385d12ef6a8eb686,202108,454.0619355
c8679a70b7e8c3eae29d,202103,3171.80871
bb126a9278348e090711,202103,600.2352581
c8679a70b7e8c3eae29d,202104,2268.583933
bb126a9278348e090711,202104,421.3658667
bb126a9278348e090711,202105,389.3629032
ae4b10b0c923483884ba,202103,62573.65613
ae4b10b0c923483884ba,202104,155497.8487
ae4b10b0c923483884ba,202105,204619.4129
ae4b10b0c923483884ba,202106,94317.30733
ae4b10b0c923483884ba,202107,98051.19613
ae4b10b0c923483884ba,202108,102894.7129
265d2f42ae52aae95c59,202105,122799.5445
265d2f42ae52aae95c59,202106,132386.6053
2a716b3af7f64c046510,202103,43279.39742
265d2f42ae52aae95c59,202107,64159.75097
2a716b3af7f64c046510,202104,36122.452
265d2f42ae52aae95c59,202108,49943.01032
2a716b3af7f64c046510,202105,46098.26065
199e6a3dfedb2aa0b480,202106,1074.349567
2a716b3af7f64c046510,202106,50366.312
199e6a3dfedb2aa0b480,202107,1243.157677
2a716b3af7f64c046510,202107,51085.12258
199e6a3dfedb2aa0b480,202108,1734.792839
2a716b3af7f64c046510,202108,51884.75613
2d8215170d474eee1a42,202103,34908.04
8b04b1c6c2cbae0b3b34,202105,53673.08387
8b04b1c6c2cbae0b3b34,202106,52018.888
8b04b1c6c2cbae0b3b34,202107,53401.89032
8b04b1c6c2cbae0b3b34,202108,52045.92258
c8679a70b7e8c3eae29d,202105,1806.116742
c8679a70b7e8c3eae29d,202106,2016.013633
c8679a70b7e8c3eae29d,202107,1641.308548
c8679a70b7e8c3eae29d,202108,1118.563613
079a586417b8261a5d62,202104,641195.86
079a586417b8261a5d62,202105,556403.9355
079a586417b8261a5d62,202106,488957.1
079a586417b8261a5d62,202107,499202.2426
079a586417b8261a5d62,202108,496324.4916
3c8647bb8103d8430826,202103,696744.2723
3c8647bb8103d8430826,202104,641195.86
2d8215170d474eee1a42,202104,35603.62
2d8215170d474eee1a42,202105,29059.55742
2d8215170d474eee1a42,202106,32562.688
2d8215170d474eee1a42,202107,23141.33935
2d8215170d474eee1a42,202108,29677.87871
e727d86bf45fa48ecf3f,202104,39265.86933
e727d86bf45fa48ecf3f,202105,25145.07226
a5258d4c25acbd20a8d2,202104,109266.5547
a5258d4c25acbd20a8d2,202105,108647.8903
e727d86bf45fa48ecf3f,202106,21635.18933
a5258d4c25acbd20a8d2,202106,113410.8053
e727d86bf45fa48ecf3f,202107,23623.28903
e727d86bf45fa48ecf3f,202108,21529.67484
b5aff901d29040e1aeff,202103,8012.226129
b5aff901d29040e1aeff,202104,5812.815
b5aff901d29040e1aeff,202105,5706.693548
b5aff901d29040e1aeff,202106,5722.74
a5258d4c25acbd20a8d2,202107,118073.0284
a5258d4c25acbd20a8d2,202108,122570.1923
bd881f0cf04e54595eca,202106,3449.807467
bd881f0cf04e54595eca,202107,3980.701581
bd881f0cf04e54595eca,202108,4656.980806
c069a9a7a1061fc8f74e,202103,24491.88323
d105337410a371002af0,202103,1523.959226
c069a9a7a1061fc8f74e,202104,28652.232
c069a9a7a1061fc8f74e,202105,20523.93419
d105337410a371002af0,202104,1155.417067
c069a9a7a1061fc8f74e,202106,1997.238
d105337410a371002af0,202105,1398.74529
c069a9a7a1061fc8f74e,202107,9831.16
d105337410a371002af0,202106,1402.342667
ae47df4439714400f3f0,202106,1506.789633
c069a9a7a1061fc8f74e,202108,12137.08
72f1a7a93076f53c2d1b,202103,3713.614677
d105337410a371002af0,202107,1525.044
ae47df4439714400f3f0,202107,1667.575581
d105337410a371002af0,202108,1722.472903
ae47df4439714400f3f0,202108,1714.60829
f5030df03ba8612ed866,202103,1652.582452
33cbe0dfc91274811a97,202103,3583.441774
f5030df03ba8612ed866,202104,1909.645067
33cbe0dfc91274811a97,202104,2987.4625
f5030df03ba8612ed866,202105,1309.290161
33cbe0dfc91274811a97,202105,2512.420968
33cbe0dfc91274811a97,202106,2431.3995
33cbe0dfc91274811a97,202107,2228.83
33cbe0dfc91274811a97,202108,2404.912097
3d48f2771d28bb194a9c,202107,45.87690323
3d48f2771d28bb194a9c,202108,58.89419355
73bb7d2b145bbebef559,202103,2471.315774
73bb7d2b145bbebef559,202104,2095.8401
73bb7d2b145bbebef559,202105,1395.762161
73bb7d2b145bbebef559,202106,1221.111767
73bb7d2b145bbebef559,202107,757.3725484
73bb7d2b145bbebef559,202108,593.1454839
598dc22e75d85911d2d0,202103,987.3834194
db1c7927790610cbb81d,202105,2915.414581
db1c7927790610cbb81d,202106,2358.899133
db1c7927790610cbb81d,202107,2070.181774
db1c7927790610cbb81d,202108,2187.647323
feb3c75bbd3f433cf7ea,202103,16984.85839
feb3c75bbd3f433cf7ea,202104,15343.951
feb3c75bbd3f433cf7ea,202105,16635.01871
feb3c75bbd3f433cf7ea,202106,10662.453
86b4ae81692ae7ec33c4,202103,550.0644516
feb3c75bbd3f433cf7ea,202107,14932.31065
86b4ae81692ae7ec33c4,202104,463.0005333
86b4ae81692ae7ec33c4,202105,367.2025161
86b4ae81692ae7ec33c4,202106,618.4099333
86b4ae81692ae7ec33c4,202107,672.3727419
6c75ba45fabb0fb02f8e,202106,29053.366
86b4ae81692ae7ec33c4,202108,665.3217097
6c75ba45fabb0fb02f8e,202107,27543.9729
b69203010e8ceb499e28,202103,517.5987097
6c75ba45fabb0fb02f8e,202108,26818.72387
b69203010e8ceb499e28,202104,459.2774333
c6f4bdd4ac3610f845ef,202103,1369.417645
c6f4bdd4ac3610f845ef,202104,2143.119467
b69203010e8ceb499e28,202105,390.2539677
c6f4bdd4ac3610f845ef,202105,1877.324419
c6f4bdd4ac3610f845ef,202106,2556.463633
7428db2df24c9dfcf6df,202103,11473.43065
c6f4bdd4ac3610f845ef,202107,1452.170419
7428db2df24c9dfcf6df,202104,10539.951
c6f4bdd4ac3610f845ef,202108,2121.011194
7428db2df24c9dfcf6df,202105,11035.25935
7428db2df24c9dfcf6df,202106,13398.331
06e46fcd2292da2404cd,202106,6491.6202
7428db2df24c9dfcf6df,202107,18775.89806
7428db2df24c9dfcf6df,202108,22054.62806
42c870cb7ac1c3773f38,202103,285.9219355
42c870cb7ac1c3773f38,202104,297.4226667
06e46fcd2292da2404cd,202107,6515.237742
06e46fcd2292da2404cd,202108,7116.590065
fdfe69729613156080d1,202103,509.2304516
80d93db5a553bfe0bc5f,202103,290.4547419
fdfe69729613156080d1,202104,524.6518667
80d93db5a553bfe0bc5f,202104,302.2266667
fdfe69729613156080d1,202105,540.6889032
80d93db5a553bfe0bc5f,202105,378.2052258
6799cec15be565ce3cd8,202103,121.1912258
fdfe69729613156080d1,202106,489.9029333
6799cec15be565ce3cd8,202104,109.4261333
fdfe69729613156080d1,202107,527.2841935
6799cec15be565ce3cd8,202105,121.1912258
fdfe69729613156080d1,202108,554.1710968
6799cec15be565ce3cd8,202106,133.1258667
6799cec15be565ce3cd8,202107,114.6825806
80d93db5a553bfe0bc5f,202106,500.792
6799cec15be565ce3cd8,202108,96.3963871
32a84d00ac35c24b4d8b,202103,2433.813581
32a84d00ac35c24b4d8b,202104,2753.827967
e5e51fe095b321acc7ca,202103,2331.10871
e5e51fe095b321acc7ca,202104,2592.934
80d93db5a553bfe0bc5f,202107,701.0805161
e5e51fe095b321acc7ca,202105,2254.399677
279b3d409bf542b98e1b,202103,3463.535484
279b3d409bf542b98e1b,202104,2513.668
279b3d409bf542b98e1b,202105,2639.881935
279b3d409bf542b98e1b,202106,4026.928
279b3d409bf542b98e1b,202107,4456.87871
9a9e11ef2eaacc07d0b9,202103,205.3387097
279b3d409bf542b98e1b,202108,4182.973226
9a9e11ef2eaacc07d0b9,202104,413.9196667
9a9e11ef2eaacc07d0b9,202105,730.2919355
9a9e11ef2eaacc07d0b9,202106,1103.694
9a9e11ef2eaacc07d0b9,202107,1233.549677
836b4bea6f93c05ae49e,202103,530652.9458
3c8647bb8103d8430826,202105,556403.9355
9a9e11ef2eaacc07d0b9,202108,1983.593548
836b4bea6f93c05ae49e,202104,564351.076
3c8647bb8103d8430826,202106,488957.1
985d8ccaa29d14f71fc2,202103,77953.42968
836b4bea6f93c05ae49e,202105,587775.6052
3c8647bb8103d8430826,202107,499202.2426
985d8ccaa29d14f71fc2,202104,82495.464
3c8647bb8103d8430826,202108,496324.4916
836b4bea6f93c05ae49e,202106,665441.648
bb126a9278348e090711,202106,486.7403
836b4bea6f93c05ae49e,202107,808646.4787
836b4bea6f93c05ae49e,202108,840046.0426
c3719160339bf0861363,202103,968.9422581
f2c35f53ca42ffef5038,202103,128181.5742
c3719160339bf0861363,202104,773.3789667
f2c35f53ca42ffef5038,202104,90148.236
c3719160339bf0861363,202105,899.7491613
f2c35f53ca42ffef5038,202105,56688.75613
7b2edbc0f5914c39c8ba,202103,3893.958387
bb126a9278348e090711,202107,500.3972903
5acaa2d5256a97dc4c76,202103,40410.16968
bb126a9278348e090711,202108,364.6068065
90afb3d9bdfedc7e0f00,202103,1651.187742
5acaa2d5256a97dc4c76,202104,27525.694
90afb3d9bdfedc7e0f00,202104,1504.187467
5acaa2d5256a97dc4c76,202105,33250.66
f5030df03ba8612ed866,202106,1293.051667
118fac66e1dd31e31f5c,202103,2659.562839
f5030df03ba8612ed866,202107,1737.349806
118fac66e1dd31e31f5c,202104,2712.4335
f5030df03ba8612ed866,202108,1694.268774
118fac66e1dd31e31f5c,202105,2454.81171
